                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77541,                 1.4906,                 1.3568,                0.56542,                0.64338,                0.64834,                0.56292,                 0.5225,                  1.036,                 1.1708,               0.006634,               0.006634,               0.006634
                     37,                0.77402,                 1.4827,                 1.3544,                0.56709,                 0.6489,                0.65273,                0.56696,                0.52112,                 1.0273,                 1.1692,               0.006535,               0.006535,               0.006535
                     38,                0.76703,                 1.4601,                 1.3488,                 0.5691,                0.65507,                0.65721,                0.57104,                0.51987,                 1.0184,                 1.1678,               0.006436,               0.006436,               0.006436
                     39,                0.76215,                 1.4526,                 1.3451,                0.57394,                0.65621,                0.66079,                0.57463,                 0.5187,                 1.0106,                 1.1666,               0.006337,               0.006337,               0.006337
                     40,                0.76111,                 1.4444,                 1.3436,                0.57783,                0.65873,                0.66445,                0.57833,                0.51738,                 1.0027,                 1.1655,               0.006238,               0.006238,               0.006238
                     41,                0.76053,                 1.4303,                 1.3432,                0.58065,                0.66184,                0.66781,                0.58166,                 0.5163,                0.99529,                 1.1643,               0.006139,               0.006139,               0.006139
                     42,                0.75749,                 1.4159,                 1.3397,                0.58381,                0.66679,                0.67137,                0.58516,                0.51506,                0.98804,                  1.163,                0.00604,                0.00604,                0.00604
                     43,                0.75709,                 1.4013,                 1.3391,                0.58633,                0.67111,                0.67488,                0.58854,                0.51401,                 0.9811,                 1.1618,               0.005941,               0.005941,               0.005941
                     44,                0.75161,                 1.3877,                 1.3339,                 0.5902,                0.67338,                0.67835,                 0.5917,                0.51296,                0.97391,                 1.1606,               0.005842,               0.005842,               0.005842
                     45,                0.74939,                 1.3744,                 1.3318,                0.59106,                0.67693,                0.68164,                0.59492,                0.51182,                0.96705,                 1.1592,               0.005743,               0.005743,               0.005743
                     46,                 0.7452,                 1.3787,                 1.3292,                0.59762,                0.67651,                0.68503,                0.59839,                0.51081,                0.96008,                  1.158,               0.005644,               0.005644,               0.005644
                     47,                0.74182,                 1.3584,                 1.3266,                0.60081,                0.68048,                0.68832,                0.60169,                0.50978,                0.95306,                 1.1567,               0.005545,               0.005545,               0.005545
                     48,                  0.742,                 1.3429,                 1.3234,                0.60491,                0.68186,                0.69183,                0.60507,                0.50863,                0.94598,                 1.1554,               0.005446,               0.005446,               0.005446
                     49,                0.73973,                 1.3257,                 1.3191,                0.60457,                 0.6858,                0.69503,                0.60817,                0.50751,                  0.939,                  1.154,               0.005347,               0.005347,               0.005347
                     50,                 0.7359,                 1.3183,                 1.3175,                0.61336,                0.68611,                0.69833,                0.61131,                0.50638,                0.93186,                 1.1527,               0.005248,               0.005248,               0.005248
                     51,                0.73441,                 1.3097,                 1.3161,                0.61476,                 0.6887,                0.70188,                0.61476,                0.50512,                0.92451,                 1.1511,               0.005149,               0.005149,               0.005149
